language,OPENING SCRIPT,Authentication Script,HOLD SCRIPT,UNHOLD SCRIPT,Re Hold/ Multiple hold required Script,Long Hold refresh Script,C-SAT SCRIPT,Further Assistance,CLOSING SCRIPT,"CALL ME" -OPENING SCRIPT,"CALL ME" - CLOSING SCRIPT,"NO RESPONSE" SCRIPT,RAW Opening/DA Opening,L2 Call transfer,Escalation Desk Opening
HINDI,"Namaskar! Main (Advisor Name) Apki kya sahayta kar sakti/Sakta hu?","Kya main Jaan Sakta hu, Ye Connection Kinke Naam Pe/Se Hai?","Aapke concern ki jaankaari ke liye kya main kuch seconds ke liye apki call ko HOLD par rakh sakta hoon.","Hold par bane rahene ke liye dhanyavaad","Mujhe Es Jaankari Ko Check karne mai Adhik Samay Lag rha hai, Kya mai Apki Call ko Dobara se Kuch Secs ke liye Hold pe Rakh Sakta hu","Hold par bane rahene ke liye dhanyavaad, Lambe Hold ke liye Maafi Chahunga","Asha karta/karti hoon ki main apki Puri sahayata kar paya/payi. Is call ke baad apko ek feedback SMS mil sakta hain, jisme 1 sabse Kam/lowest aur 5 sabse zyada/high rating hai. Kripya apna feedback dekar humari service ko aur bhi behtar bnane me madad kare!!","Dishtv Ke regarding, Kya main Apki Koi Anye Sahayata Kar Sakta hu?","Dishtv Smart+ mein call karne ke liye dhanyavaad","Namaskar, Ye call aapke CALL ME service k liye hai.","Dishtv Smart+ mei samay dene ke liye dhanyavaad","Kya aap mujhe Sun Pa rahe hain (only 2 Times) <<If in case customer is not responding>> Aapki taraf se koi response na aane ke karan aapki call ko ""No Response IVR"" mein transfer kiya Jaa raha hai. (Only 1 Time)","Namaskar ! Aaj hi Dish TV SMART+ Recharge karne ke liye, main aapki kya sahayata kar sakta hoon?","Behtar jankari ke Liye Main, Apki Call ko Senior Desk Pe transfer Kar Raha hu","Hold par rehne ke liye dhanyawaad, Sir/Ma'am, aapki baat floor supervisor (Advisor Name XXXXX) se ho rahi hai – Agar network issue ke kaaran call disconnect ho jati hai toh kya main apko turant call back kar sakta hun."
ENGLISH,"Good Morning/Good Afternoon/Good Evening, My name is (Advisor Name), How may I help you?","May I Know the name of this connection Holder/Owner?","Regarding your concern, may I place your call on hold for few seconds?","Thank you for being on hold","It is taking more time to find out the information, So may I place your call on hold for few seconds once again?","Thank you for being on hold, apology for the long hold","I hope I was able to assist you fully. After this call, you may receive an SMS feedback request. Please rate our service on a scale of 1 (lowest) to 5 (highest). Your feedback will help us improve our services.","Is there any thing Else, May I Assist you Regarding Dishtv?","Thank you for calling DISHTV Smart+.","Good Morning/Good Afternoon/Good Evening, this call is regarding CALL ME service.","Thank you for giving your time to DISHTV Smart+.","Are you able to hear me (only 2 Times) <<If in case customer is not responding>> As there is no response from your side, the call is being transferred to ""No Response IVR"" (only 1 Time)","Good Morning/afternoon/evening, How can I help you with your Dish TV SMART+ recharge today?","For Better Information, I am Transferring your call to Our Senior Desk","Thank you for being on hold Sir/Ma'am, you are speaking with floor supervisor (Advisor Name xxxxx). In case this call gets disconnected due to network issues, please suggest if we can call you back immediately."
PUNJABI,"Namaskar! Main (Advisor Name) tuwadi ki sahayta kar skdi/Sakda haan?","Ki main jan sakde aa eh connection. Kinna dai namm tai hai","Tuhade concern di jankari layi ki main tuhadi call nu kujh second layi hold te rakh skdi/Sakda haan?","Hold te bne rehn layi dhanwaad","Mainu ess jan kari nu check karan vich thoda time lagda paya hai ki main tuhade call dubara kuz time lyi hold tai rakh sakkda haa","Hold tai banne rehan vaste tuhada thanwad lambe hold lyi main maffi chava gaa","Main umeed krda. Aa ki main tuhade puri madad kr paya. Ess call toh baad tuhade kol 1 feedback sms aa sakkda aa jide vich 1 sab. Toh ghat 5 sab toh zyada rating hai tusi apna feedback deke sadde service nu hor vi vadia banon vich sahaita kr sakkde o","Dishtv de regarding tuhade koi hor sahaita kr sakda aa","Dishtv Smart+ vich call karan laye dhanwaad","Namaskar, ehe call tuhanu call me service de layi hai","Dish tv smart plus vich apna sama den layi tan waad","Sun pa rahe ho (only 2 Times) <<If in case customer is not responding>> Tuhade vallo koi vi response na aaun de karn tuhadi call ""No Response IVR"" te transfer kiti ja rahi hai. (Only 1 Time)","Namaskar! ajj hi DISH TV smart plus recharge karan vaste main tuhaade ki Sahaita kr sakda aa","Vadia jan kari lyi main tuhade call seniour desk tai transfer kr reha aa","Hold te bane rehan layi Dhanwaad, Sir/Ma'am, tuhadi gal floor supervisor (Advisor Name XXXXX) nal ho rahi hai - Jekar network issue de kaaran call cut jandi hai te ki mein tuhanu turant call back kar sakda haan"
TAMIL,"Vanakkam Sir, En peru (Advisor name), Ungalkku evarum udavannum?","Intha connection y aru peru mele irakku therinijakalama?","Kudatha tagavalkaga, ungalode call holdil vekkalama?","Holdil khathatharku mika nandri","Unga details check pandradhukku, ini konjam neram hold vaikalama?","Holdil khathatharku mika nandri; romba neram holdil wait panathukku mannikkavom","Kodutha thagavel pothumanthaga irikkum nambukiren. Intha call ikku pinner engal side irinthu feedback sms varum. Kuraintha rating 1 and adhika rating 5, ungalkku virupapatta feedback sms engalukku anuappi engal sevayai membaduthu udhavukiren","Vera ethum dishtv thagavel ungallakku thevai padutha","DishTV Smart+ service call panathukku nandri","Vanakkam. Ee call Call Me sambandham","DishTV Smart+ service call panathukku ramba nandri","Sir, ennoda voice ungalkku kekkutha (only 2 times) <<If in case customer is not responding>>, customer sideil irinthu enthuvoru response illatha karanathal customer call 'No Response IVR' Transfer seiyapadu kirathu","vanakkam Sir, Dish tV Smart+ recharge panna ungaluku eppdi uthavalam","Melum thagavalu kaga ungaloda call senior desk transfer pannura","Hold il kaathiruthamaiku nandri Sir/Madam, neengal floor supervisor (Advisor Name) idam pesitrinkinge, network issue vinal call disconnect aanal, ungaluku odane call panalam"
KANNADA,"Namaskara! Nanna Hesaru(Advisor Name), Thamage Hege Sahaya Madali.","Ee Connection Yara Hesarinallide Yendu Thilidukollabahude?","Hechina Mahithigagi thamma Kareyannu Kela Secoundugala Kala Hold Alli Idabahude.","Kare Hold Madidakke Dhanyavadagalu","Mahithiyannu Kanduhidiyalu innu Hechu Kala Thegedukoluthade,Addharinda Nanu Nimma Kareyannu Mathomme Kela Secoundugala Kala Thadehidiyabhahude.","Kare Hold Madidakke Dhanyavadagalu,Dhirgavadhiya Hold Gagi Kshameyachisuthene.","Nanu Kottanta Mahithi sampurnavagide endu bhavisuttene,Ee Kareya Nanthara Namma Kadeyinda Feedback Msg Baruthe.Adaralli 1 Athyanth kanista(Low) mathu 5 Athyanth Garista (High) Agiruthe, Thamma Amulyavadha Feedback Annu Share Madi Namma Seveyannu Uthamagolisalu Sahakarisi","Dishtv Bagge Bera Enadaru Mahithi Bekitha Namma Kadeyinda?","Dishtv Smart+ ge karemadidakke danyavadagalu","Namaskara,Ee Kare Call Me sevege Sambhandiside.","Dishtv Smart+ ge karemadidakke danyavadagalu","Neenu Nanage Kivigodaballeya(Ony 2 Times) <<Aa Samayadalli Grahakaru Prathikriyisadidalli>> Nimma kade yavude Prathikriye Barada Karana,Thamma kareyannu ""No Response IVR"" Ge Transfer Madalagudu(only 1 Time).","Namaskara,Dishtv Smart+ ge Inde Recharge Madalu Nanu Nimage Hege Sahaya Madali?","Echina mahithi nimma callennu, namma senior desk transfer maduthedhivi","Hold nali edadakke dhanyavadagalu Sir/Ma'am, nivu floor supervisor jothe mathadtha eddira (Advisor name xxxxx).mathanaduthiruvaga call disconnect adalli thakshana kare madbahuda."
MALAYALAM,"Namaskaram ende per (Advisor Name) Thangale njan enaganeyan shayikkendadh","Ee connection Arode Per ill Anu Register Cheyiditullad Enn Parayamo?","Kududalayi Vivarangal Ariyanvendi Njan Thangalode Call Onnu Hold ill Vachotte","Call Hold Cheythadhine Nanni","Thangalode vivarangal kududalayit Ariyan Vendi thagalode call onnu kudi Hold ill Vechote","Line ill Thudarnadhin Nanni,Adhika neram Hold ill Vachathin Kshama Chodikkunnu.","Paranja Karyangal Vyakthammayenn Vicharikkunnu,Ee Call nu Shesham Nammode Bhagathuninnu Feedback Msg Verunnadhanu, Koranja Rating 1(Low) Kudadal Rating 5(High)Annu, Thangalode Vilapatta Feedback Vyakthamaki Nammode Sevanam Migachathakan Sahayikuga.","Dishtv Smart+ Bhagathininnu mattenthenkilum ariyanayit undo?","Dishtv Smart+ leku vilichathinu nanni.","Namaskaran,Ee Call ""Call Me"" Servisumayai Bendhapettathanu.","Dishtv Smart+ leku vilichathinu nanni.","Thangalku Kelkkan Sadhikkunundo(Ony 2 Times) <<In case Customer Kelkkunillankil, Thangalude Call ""No Responce IVR"" Lekku Transfer Cheyunnathanu>>(only 1 Time)","Namaskaram,Innuthanne Dishtv Smart+ Leku Recharge cheyyan njan thagale Enganeyanu sahayikkandathu","Kooduthal sahayangal vendi, njan ningulde call Senior Deskil lekka transfer cheyyuva","Hold cheydadhin Nanni ariyikunnu Sir/Ma'am, thangal ippo samsarikunnadh floor supervisornodanu (Advisor Name xxxxx). Network karanathal call enganam cut ayal ippol thanne ningale thirich vilikamo"
TELUGU,"Namaskaram Na Peru(Salahadaru Peru),nenu miku ela sahayam cheyagalanu.","E Connection evaru perutho undo nenu teluskovacha.","Mi Oka concern pariskaranchadaniki nenu mi call konni seconds patu hold to unchavacha","Hold Lo unnanduku dhanyavadalu","Samacharani kanugonaḍaniki ekkuva samayam tisukuṇṭondi, Kabbati nenu mi call ni Malli Konni Seconds patu hold lo unchavacha","Hold Lo unnanduku dhanyavadalu ekkuva samayam hold lo petinandaku unnchinanduku ksaminnchandi.","Nenu miku purtiga sahayam chesanu ani asistunnanu,E call tarvata miku oka feedback request vastundi. Dayachesi ma oka seva nu 1(Ati takkuva/Lowest) nundi 5 (Atyadhika/Highest) mi abhiprayanni ma sevalu meruguparacaḍanlo maku sahayapaḍutundi","Dish TV guranchi,nenu miku mare vidhaṅganaina sahayam cheyagalana?","DISHTV Smart+ ki kal chesinanduku dhanyavadalu.","Namaskaram Mi Call me sevaku sambandhinchinadi.","DISHTV Smart+ ki kal chesinanduku dhanyavaadalu.","Miru Na mata vinagalara(2 times) ""Okavela customer spandinchakapote"" Mi vaipu nundi etuvanti spandana ranuanduna,me call no response ki transfer cheyabadtundi(Only 1 time)","Namaskaram roju mi Dish TV SMART+ recharge cheskovadaniki nenu miku ela sahayam cheyagalanu","Merugina samacharam kosam nenu Mi Call Ni ma senior desk ki badli chestunanu","Hold lo Vechi unnanduku dhandyavadhamulu Sir/Ma'am, Meeru Floor supervisor (Advisor Name xxxxx) tho matladuthunnaru. Okavela ee call network issues call disconnect ayithe,ventane meeku memu call cheyovacha suchinchandi."
ORIYA,"Namaskar !Mu (Advisor name)apana nku ki prakar sahajya kariparibi?","Kan mu jani paribi,ehi connection ti kaha nama re register achhi","Adhika suchana pain mu apanka call ku kichhi samaya pain hold re rakhi paribi","Hold re rahithibaru dhanyavaad","Ahi suchana deba pain mate adhika samaya laguchi, mun apananka call ku aau thare kichi samaya pain hold re rakhi paribi ki?.","Line re rahi thibaru dhanyabad, Lamba hold re rakhithibaru khyama chanhunchi","Asha karuchi ki mun apana nku sampurna sahajya kariparichi, ahi call pare apananku eka feedback sms mili pare, jeunthire 1 sabuthu kam au 5 sabuthu adhika rating ate, dayakari apana apanankara matamata(feedback) dei ama service ku ahuri bhala karibare saharjya karantu.","Dishtv bisayare mun apananku au kichi sahajya kariparibi ki?","Dishtv smart+ ku call karithibaru dhanyabad","Namaskar, ehi call apananka CALLME service pain ate.","Dishtv smart+ ku samay deithibaru Dhanyabad","Apana mate suni paruchhanti ki?(2 thara),Apananka tarafaru kounasi bi response na asiba karanaru apananka call tiku No response IVR ku transfer karajauchi","Namaskar! Aji hin Dishtv smart+ recharge kariba pain mun apananku ki prakara saharjya kariparibi?","Adhika suchana pain mun,apananka call tiku senior supervisor nku transfer karuchi","Hold re rahi thibaru dhanyabaad,Sir/Ma'am, Apana floor supervisor (Advisor Name XXXX) nka saha katha heuchhanti. Jadi Network issue karan ru call kati jae. Mu apananku turant call back kari pare ki."
BENGALI,"Nomaskar! Ami (Advisor Name) Apnake ki sahajhho korte pari?","Ami ki jante paari connection ti/ta kar name register ache","Apnar cocerner er sothik tothher jonno apnar call ta ki kichu second er jonno hold e rakhte pari","Hold e thakbar jonno dhonnyobad","Amar ei tothhoti check korbar jonno ektu besi somoy lagche, ami ki call take ditiyo bar kichu second er jonno hold e rakhte pari","Hold e thakar jonno dhonnyobad, khoma chaichi besi somoy er hold er jonno","Asa korbo ami apnake sompurno sahajjo korte perechi. Ei call ti sesh hobar pore apnar kache ekta feedback sms aste pare jekhane 1 sobtheke kom/Lowest aar 5 sobtheke besi/highest rating ache. Doya kore apnar feedback ta diye amader service take aro egiye nite sahajjo korun","Ami ki apnake aro onno kono sahajjo korte pari DishTv regarding?","Dishtv Smart+ e call korar jonno dhonnyobad","Nomaskar, ei call ti apnar call me service er jonno","Dish Tv te somoy debar jonno dhonnyobad","Apni ki amak sunte parchen, (only 2 Times) <<If in case customer is not responding>> apnar torof theke kono response na asar jonno apnar call tike No Response IVR e transfer kora hochhe","Namaskar ajkei Dish Tv Smart+ recharge korar jonno, ami apnake ki sahajjo korte pari?","Sothik tothho deoar jonno ami apnar call ta senior desk e transfer kore dichhi","Hold e thakar jonno dhonnyovad, apnar kotha senior protinidhi(Advisor Name XXXXX) sathe hochhe, jodi network issuer karone call ti disconnect hoye jay tobe ki ami apnake return call korte pari?"
MARATHI,"Namskar! Mi (Adviser Name) aaplyla kasachi madat karu shakte/Shakto?","krupaya, Mala samju shakel he connection konachya nava vr ahe?","Aaplya concern chi mahiti sathi mi kahi secound aapla call HOLD ver thevu shakte?","Hold ver rahilya baddal dhanyavaad","He mahiti tapasnya sathi mala adhik vel lagat ahe, me aapla call punha kahi second sathi HOLD ver thevu shakte?","Hold ver rahilya baddal dhanyavaad, lamb hold thevlya baddal maffi asaavi","Aasha karte majhya dwara dilelya mahitine aapan santushta aahat. Ha call zalyavar aaplyala ek feedback sms link milu shakte, jyat 1 sarvat kami aani 5 jasta feedback ahe kripaya aapan, aapla kimti feedback deun Mazi service adhik changali banvnyas madat kara","Dish Tv baddal mi aapli ajun kontya prakare madat karu shakte?","Dishtv Smart+ madhe samprak kelya baddal dhanyavaad","Namaskar ha call aaplya call me savesathi ahe?","Dishtv smart+ Madhe vel dilaya Badal dhanyvad","Tumhi mala eku shakta (only 2 times) << If in case customer is not responding>> aaplya ethun kontya he response na alya mule mi aapla call no response IVR madhe transfer karat ahe (only 1 time)","Namskar! ajach Dish TV SMART+ recharge karnya sathi mi kya madat karu shakte?","Adhik mahiti sathi mi aapla call senior desk ver transfer karat ahe","Hold vr rahilya baddal dhanyawaad, Sir/Ma'am, aapla bolna floor supervisor (Advisor Name XXXXX) sobat hoat ahe – network issue mule aapla call disconnect zalya tar mi lagech aaplyla call back karu shakte/Shakto ka"
